"","seqn","ridageyr","riagendr","ridreth1","ridreth3","dmdborn4","dmdeduc3","dmdeduc2","indfmin2"
"1",83732,62,"1","3","3","1",NA,"5","10"
"2",83733,53,"1","3","3","2",NA,"3","4"
"3",83734,78,"1","3","3","1",NA,"3","5"
"4",83735,56,"2","3","3","1",NA,"5","10"
"5",83736,42,"2","4","4","1",NA,"4","7"
"6",83737,72,"2","1","1","2",NA,"2","14"
"7",83741,22,"1","4","4","1",NA,"4","7"
"8",83742,32,"2","1","1","2",NA,"4","6"
"9",83743,18,"1","5","6","1","11",NA,"15"
"10",83744,56,"1","4","4","1",NA,"3","3"
"11",83747,46,"1","3","3","2",NA,"5","3"
"12",83750,45,"1","5","7","1",NA,"2","4"
"13",83752,30,"2","2","2","1",NA,"4","15"
"14",83754,67,"2","2","2","1",NA,"5","6"
"15",83755,67,"1","4","4","1",NA,"5","5"
"16",83757,57,"2","2","2","1",NA,"1","5"
"17",83758,80,"1","3","3","1",NA,"5","9"
"18",83759,19,"2","1","1","1","15",NA,"7"
"19",83761,24,"2","5","6","2",NA,"5","1"
"20",83762,27,"2","4","4","1",NA,"4","6"
"21",83767,54,"2","5","6","2",NA,"4","14"
"22",83769,49,"1","5","6","2",NA,"2","10"
"23",83773,80,"2","3","3","1",NA,"3","7"
"24",83775,69,"2","2","2","2",NA,"1","2"
"25",83776,58,"2","1","1","1",NA,"5","14"
"26",83777,56,"1","5","6","2",NA,"2","7"
"27",83781,27,"2","4","4","1",NA,"5",NA
"28",83784,22,"1","2","2","1",NA,"4",NA
"29",83785,60,"2","2","2","1",NA,"5","15"
"30",83786,51,"1","4","4","1",NA,"4",NA
"31",83787,68,"2","1","1","2",NA,"1","4"
"32",83788,69,"2","3","3","1",NA,"4","7"
"33",83789,66,"1","3","3","1",NA,"5","9"
"34",83790,56,"1","3","3","1",NA,"1","4"
"35",83791,80,"2","3","3","1",NA,"2","12"
"36",83799,37,"2","2","2","1",NA,"4","14"
"37",83801,80,"2","3","3","1",NA,"5",NA
"38",83802,29,"2","1","1","1",NA,"3",NA
